Plot,Location,Env,Rep,Block,Genotype,Planting_date,DTF,DTM,PH,LPH
1120,WPR_2022,1,1,3,PI420925,2/1/2022,78,114,22.7,8.7
1121,WPR_2022,1,1,2,W627760,2/1/2022,77,108,22.3,8.7
1122,WPR_2022,1,1,2,ILL241,2/1/2022,80,114,28.3,10.3
1123,WPR_2022,1,1,2,PI379368,2/1/2022,85,116,29.7,14.3
1124,WPR_2022,1,1,2,PI368647,2/1/2022,87,116,29,15.7
1125,WPR_2022,1,1,1,PI308614,2/1/2022,85,107,24,10
1126,WPR_2022,1,1,1,PI178940,2/1/2022,80,115,33.3,15
1127,WPR_2022,1,1,1,PI472274,2/1/2022,91,101,15,4.3
1128,WPR_2022,1,1,1,PI320936,2/1/2022,77,106,25.7,10
1129,WPR_2022,1,1,1,W627756,2/1/2022,85,121,30.3,17
1130,WPR_2022,1,1,1,PI320952,2/1/2022,91,116,28,14
1131,WPR_2022,1,1,1,PI431663,2/1/2022,85,109,23.7,9.2
1132,WPR_2022,1,1,1,PI468902,2/1/2022,82,109,33.3,10.7
1133,WPR_2022,1,1,2,PI431712,2/1/2022,85,118,19,6.7
1134,WPR_2022,1,1,2,PI431888,2/1/2022,91,118,27,14.7
1135,WPR_2022,1,1,2,PI533691,2/1/2022,80,116,27.7,13.2
1136,WPR_2022,1,1,2,PI486128,2/1/2022,80,115,25.3,10.7
1137,WPR_2022,1,1,3,ILL508,2/1/2022,87,116,27.3,13
1138,WPR_2022,1,1,3,PI472188,2/1/2022,77,99,22.3,3.3
1139,WPR_2022,1,1,3,PI472316,2/1/2022,77,102,24,8
1140,WPR_2022,1,1,3,PI432059,2/1/2022,77,116,27.3,10.7
1141,WPR_2022,1,1,4,PI432085,2/1/2022,77,115,28,11.3
1142,WPR_2022,1,1,4,PI472564,2/1/2022,77,116,27.3,12
1143,WPR_2022,1,1,4,PI211052,2/1/2022,91,118,27,14.7
1144,WPR_2022,1,1,4,ILL357,2/1/2022,77,108,27.3,9
1145,WPR_2022,1,1,4,PI518734,2/1/2022,87,115,31.3,12.7
1146,WPR_2022,1,1,4,PI289073,2/1/2022,82,108,26.7,11.5
1147,WPR_2022,1,1,4,ILL1940,2/1/2022,77,104,28.7,7.3
1148,WPR_2022,1,1,4,PI432184,2/1/2022,80,115,26,12.3
1149,WPR_2022,1,1,3,ILL440,2/1/2022,87,117,32.7,14
1150,WPR_2022,1,1,3,PI431768,2/1/2022,77,114,31,12
1152,WPR_2022,1,1,3,PI193548,2/1/2022,77,100,24.7,5.3
1154,WPR_2022,1,1,2,W627763,2/1/2022,77,108,30,11.7
1155,WPR_2022,1,1,2,ILL359,2/1/2022,87,116,28.7,14
1156,WPR_2022,1,1,2,PI320937,2/1/2022,91,116,28.7,16
1157,WPR_2022,1,1,1,PI179324,2/1/2022,91,115,26.7,10.7
1158,WPR_2022,1,1,1,PI339310,2/1/2022,77,115,25,12
1159,WPR_2022,1,1,1,ILL211,2/1/2022,87,122,24.3,9.3
1160,WPR_2022,1,1,1,PI432245,2/1/2022,77,106,29,11.7
1161,WPR_2022,1,1,5,PI472331,2/1/2022,77,104,19.7,5
1162,WPR_2022,1,1,5,PI320953,2/1/2022,91,120,27.3,13.3
1164,WPR_2022,1,1,5,W627768,2/1/2022,77,120,26,10.7
1165,WPR_2022,1,1,6,PI431810,2/1/2022,82,114,25.7,11
1166,WPR_2022,1,1,6,PI299351,2/1/2022,85,118,27,
1167,WPR_2022,1,1,6,PI298644,2/1/2022,87,116,31,15
1168,WPR_2022,1,1,6,PI472535,2/1/2022,77,103,25.3,4
1169,WPR_2022,1,1,7,PI299237,2/1/2022,77,115,23.3,7.7
1170,WPR_2022,1,1,7,PI451763,2/1/2022,82,115,30.3,13.7
1171,WPR_2022,1,1,7,PI297284,2/1/2022,78,115,28.7,13
1172,WPR_2022,1,1,7,PI518733,2/1/2022,85,113,30.7,9.3
1173,WPR_2022,1,1,8,PI472327,2/1/2022,77,99,26.7,7.7
1174,WPR_2022,1,1,8,ILL1922,2/1/2022,78,115,27.7,13.7
1175,WPR_2022,1,1,8,ILL454,2/1/2022,87,116,28.3,14.3
1176,WPR_2022,1,1,8,PI299116,2/1/2022,77,109,25.3,9
1177,WPR_2022,1,1,8,ILL469,2/1/2022,85,116,27.7,10.3
1178,WPR_2022,1,1,8,PI432005,2/1/2022,82,119,33.3,14.3
1179,WPR_2022,1,1,8,PI431710,2/1/2022,80,109,25.3,11.3
1180,WPR_2022,1,1,8,PI193547,2/1/2022,80,107,28.3,9.3
1181,WPR_2022,1,1,7,W627754,2/1/2022,91,116,30.7,18
1182,WPR_2022,1,1,7,ILL507,2/1/2022,80,117,28.3,13.7
1183,WPR_2022,1,1,7,PI357225,2/1/2022,87,120,33.3,13
1184,WPR_2022,1,1,7,PI472569,2/1/2022,77,101,27,6
1185,WPR_2022,1,1,6,PI193817,2/1/2022,77,101,29.3,7.2
1186,WPR_2022,1,1,6,PI472615,2/1/2022,77,110,29,9.5
1187,WPR_2022,1,1,6,PI298121,2/1/2022,91,120,18,
1188,WPR_2022,1,1,6,PI472549,2/1/2022,91,101,23,5.7
1189,WPR_2022,1,1,5,PI299177,2/1/2022,89,116,26.7,12.3
1190,WPR_2022,1,1,5,PI298631,2/1/2022,85,116,28.7,16
1191,WPR_2022,1,1,5,PI311107,2/1/2022,91,116,27.3,14
1192,WPR_2022,1,1,5,PI431684,2/1/2022,85,116,33.3,13
1193,WPR_2022,1,1,5,PI169534,2/1/2022,91,121,,
1194,WPR_2022,1,1,5,PI472200,2/1/2022,77,101,20,5.7
1195,WPR_2022,1,1,5,ILL1220,2/1/2022,82,117,28,12.3
1196,WPR_2022,1,1,5,PI329157,2/1/2022,77,112,30,12
1197,WPR_2022,1,1,6,PI431675,2/1/2022,82,116,25,10
1198,WPR_2022,1,1,6,PI451766,2/1/2022,85,115,23.7,10
1199,WPR_2022,1,1,6,PI345627,2/1/2022,87,116,29,16.7
1200,WPR_2022,1,1,6,PI431884,2/1/2022,87,117,30.3,11
1201,WPR_2022,1,1,7,PI431717,2/1/2022,85,119,26.7,14
1202,WPR_2022,1,1,7,PI298122,2/1/2022,82,115,26.3,13.7
1203,WPR_2022,1,1,7,PI432124,2/1/2022,80,116,25.7,12.8
1204,WPR_2022,1,1,7,PI468900,2/1/2022,82,116,33.7,15.7
1205,WPR_2022,1,1,8,PI244046,2/1/2022,77,101,27,5.3
1206,WPR_2022,1,1,8,PI320941,2/1/2022,91,116,27.7,17.3
